Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Faroe Islands,FRO,..,..,..,2.9,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Fiji,FJI,..,..,..,4.4,4.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,3.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Finland,FIN,..,..,..,14.9,15,15,15,15,15,13.3,13.3,13.3,13.4,13.4,13.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,France,FRA,..,..,..,25.4,25.6,25.6,25.8,26,25.8,26.3,27.3,28,28.4,28.4,28.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,French Polynesia,PYF,..,..,..,1.1,2,2,2,2,2,2,2,2,2,2,1.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Gabon,GAB,..,..,..,20,20.1,20.1,20.1,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.7
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Gambia, The"",GMB,..,..,..,4.1,4.1,4.1,4.1,4.1,4.1,4.1,7.7,7.7,7.7,7.7,7.6"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Georgia,GEO,..,..,..,7.8,8.3,8.3,8.3,8.3,8.3,9.3,9.3,9.3,11.1,11.1,22.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Germany,DEU,..,..,..,37.9,37.4,37.4,37.8,37.8,37.8,37.4,37.8,37.5,37.6,37.6,39.3
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Ghana,GHA,..,..,..,15.1,15.1,15.1,15.1,15.1,15,15,14.8,14.8,14.8,14.8,14.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Gibraltar,GIB,..,..,..,4.7,32.4,32.4,32.4,32.4,32.4,32.4,4.7,4.7,0,0,26.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Greece,GRC,..,..,..,35.1,35,35,35,35,35.2,35.2,35.2,35.2,35.2,35.2,35
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Greenland,GRL,..,..,..,41.2,41.2,41.2,41.3,41.2,41.2,41.1,41.1,41.6,41.1,41.1,41.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Grenada,GRD,..,..,..,2.2,2.2,9.3,9.3,9.3,9.8,9.8,9.5,9.5,9.5,9.5,8.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Guam,GUM,..,..,..,27.1,21.9,21.9,22.5,22.5,22.5,22.5,2.7,4.5,4.5,4.5,4.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Guatemala,GTM,..,..,..,31.7,31.7,31.7,31.7,31.7,20,20,20.1,20.1,20.1,20.1,20.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Guinea,GIN,..,..,..,30.7,30.7,30.7,30.7,35.6,35.6,35.6,35.8,37.6,37.6,37.6,37.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Guinea-Bissau,GNB,..,..,..,16.2,16.2,16.2,16.7,16.7,16.7,16.7,26.3,26.3,27.1,27.1,26.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Guyana,GUY,..,..,..,8.7,8.7,8.7,8.7,8.7,8.7,8.5,8.5,8.5,8.5,8.5,8.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Haiti,HTI,..,..,..,0.3,0.3,0.3,0.3,1.9,1.9,7.1,7.1,8.6,8.6,8.6,8.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Honduras,HND,..,..,..,21.2,27.9,28,28.4,28.4,23.9,23.9,23.5,23.5,23.5,23.5,23.4
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Hong Kong SAR, China"",HKG,..,..,..,42.1,42.1,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,42"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Hungary,HUN,..,..,..,23.2,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Iceland,ISL,..,..,..,20.2,16.7,16.7,17.4,18.2,18.2,19.5,19.9,20.3,20.8,20.8,20.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,India,IND,..,..,..,5.9,5.9,6,6,6,6,6,6,7.5,7.5,7.5,7.7
